BUG ID,BUG TITLE,FEATURE/SCREEN,ENVIRONMENT,PRECONDITIONS,STEPS TO REPRODUCE,EXPECTED RESULT,ACTUAL RESULT,SEVERITY,PRIORITY,REPRODUCIBILITY,EVIDENCE
BUG-001,Back button after logout returns the user to the previously authenticated page,Buyer Auth / Logout / Session,"HP EliteBook, Windows 11, CampusKart website in Google Chrome. Redmi Note 13, Android, Chrome for Android. Glo mobile network. Tested 16 September 2026.",Logged in as buyer testbuyer@gmail.com. Browser history contains authenticated pages.,1. Open Google Chrome and go to https://campuskart.site. 2. Log in with testbuyer@gmail.com / buyer7154. 3. Confirm the dashboard loads. 4. Click Logout. 5. Confirm you are returned to the homepage or login screen. 6. Press the browser Back button once. 7. Observe the page.,"After logout, the previous authenticated page must not reappear. The user is redirected to login or homepage with no account content visible.",The buyer dashboard reappears with the account content intact. The session is not fully cleared on logout.,Critical,P1,"3 out of 3 attempts (2 on laptop Chrome, 1 on Redmi Chrome)",
BUG-002,Login with a wrong password shows no error message and leaves the user on the login page with no feedback,Buyer Auth / Login,"HP EliteBook, Windows 11, CampusKart in Microsoft Edge. Glo mobile network. Tested 16 September 2026.",Buyer account testbuyer@gmail.com exists. User is logged out and on the login page.,1. Open Microsoft Edge and go to https://campuskart.site. 2. Click Login. 3. Enter testbuyer@gmail.com. 4. Enter WrongPass99 as the password. 5. Click Login. 6. Observe the page.,"A clear error message such as ""Invalid email or password"" appears and the user stays on the login page.",The user stays on the login page with no error message. Nothing tells the user whether the password was wrong or the page froze.,Medium,P2,"3 out of 3 attempts (2 on laptop Chrome, 1 on Redmi Chrome)",
BUG-003,"Clicking ""Delivery Requests"" in the rider dashboard opens the edit profile page instead of the requests list",Rider Portal / Delivery Requests,"HP EliteBook, Windows 11, CampusKart in Microsoft Edge. Glo mobile network. Tested 16 September 2026.",Logged in as rider. Rider dashboard is visible. Delivery Requests menu item is shown.,"1. Open Microsoft Edge and go to https://campuskart.site. 2. Log in as a rider. 3. On the rider dashboard, click Delivery Requests. 4. Observe which page loads.","The delivery requests list loads, showing available requests with pickup and drop details.",The edit profile page opens instead of the requests list. The requests list cannot be reached from this menu item.,Medium,P2,"3 out of 3 attempts (2 on laptop Chrome, 1 on Redmi Chrome)",
BUG-004,Rider and seller accounts can access the buyer area of CampusKart without registering as a buyer,"Authentication / Role separation (Buyer, Seller, Rider)","HP EliteBook, Windows 11, CampusKart in Google Chrome. Redmi Note 13, Android, Chrome for Android. Glo mobile network. Tested 16 September 2026.",A rider account exists with no linked buyer account. A seller account exists with no linked buyer account. User is logged out.,"1. Open Google Chrome and go to https://campuskart.site. 2. Click Login. 3. Enter the rider account credentials and log in. 4. Without logging out, navigate to the buyer area (Start Shopping, cart, or buyer dashboard). 5. Observe whether buyer features load. 6. Log out. 7. Log in with the seller account credentials. 8. Navigate to the buyer area again. 9. Observe whether buyer features load. 10. Repeat steps 3 to 9 a second time from a fresh browser session.","A rider account should only grant access to rider features. A seller account should only grant access to seller features. Accessing the buyer area with either account should redirect to a ""register as buyer"" screen or show an access-denied message. The buyer area should require a separately registered buyer account.","Both the rider account and the seller account load the buyer area without any separate registration. No access-denied message is shown. Buyer features such as the cart, buyer dashboard, and buyer messaging are reachable from a rider session and from a seller session.",Medium,P2,"3 out of 3 attempts (2 on laptop Chrome, 1 on Redmi Chrome)",
BUG-005,Pressing the browser Back button after placing an order places the order a second time,Cart & Checkout / Order placement,"Redmi Note 13, Android, CampusKart in Firefox. Glo mobile network. Tested 16 September 2026.",Logged in as buyer. Cart has one item. One order has just been placed successfully.,"1. Log in as buyer on the Redmi Note 13. 2. Add an item to the cart. 3. Check out and place the order. 4. On the confirmation screen, press the browser Back button. 5. Observe whether the order is submitted again.","The cart is empty, the order is not re-submitted, and the user is returned to a safe page.",The order is placed again. The cart is not cleared and the checkout form is not reset. Duplicate order and duplicate charge risk.,High,P2,"2 out of 2 attempts (Redmi Note 13, Firefox for Android)",
BUG-006,Buyer-seller message reply takes over an hour to appear to the buyer,Messaging / Reply delivery,"HP EliteBook, Windows 11, CampusKart in Microsoft Edge. Glo mobile network. Tested 16 September 2026.",Logged in as seller with an existing buyer message. Buyer is logged in on another device.,"1. Open Edge and go to https://campuskart.site. 2. Log in as seller. 3. Open the message thread with the buyer. 4. Reply ""Yes, it is"" and click Send. 5. On the buyer side, refresh the messages page and note when the reply appears.",The buyer sees the seller's reply within a few seconds.,The buyer's reply took over an hour to appear on the buyer's side.,Medium,P2,1 out of 1 attempt — needs further reproduction to confirm timing,
BUG-007,"The ""Orders"" footer link on the rider portal loads nothing / returns an error",Navigation / Footer,"HP EliteBook, Windows 11, CampusKart in Google Chrome. Glo mobile network. Tested 16 September 2026.",On the homepage. Rider portal access.,1. Open Chrome and go to https://campuskart.site. 2. Scroll to the footer. 3. Click Orders. 4. Observe the page.,The Orders page loads without a 404 or blank screen.,The Orders link on the rider portal does not load correctly. All other footer links load as expected.,Low,P3,2 out of 2 attempts,
BUG-008,"Product listing is missing a price range filter, a sort option, multi-filter support, and a coupon field at checkout",Products / Search & Filters / Cart & Checkout,"HP EliteBook, Windows 11, CampusKart in Google Chrome. Redmi Note 13, Chrome for Android. Glo mobile network. Tested 16 September 2026.",Logged in as buyer. On the product listing page. Item in cart for coupon test.,"1. Open Chrome and go to https://campuskart.site. 2. Log in as buyer. 3. Browse the product listing. 4. Look for a price range filter. 5. Look for a sort option such as ""Newest first"". 6. Try to apply a category filter and a price filter at the same time. 7. Add an item to the cart and look for a coupon entry field at checkout.","The listing page provides a price range filter, a sort control, and supports more than one filter at once. The checkout flow provides a coupon code field.",No price range filter exists. No sort option exists. Only one filter can be applied at a time. No coupon field exists in the cart or at checkout.,Medium,P3,3 out of 3 attempts on each item,
BUG-009,"Console logs a 404 error for /manifest.json on every page load, and the PWA install experience is missing its icon and name",Site-wide (Console / PWA install behaviour),"HP EliteBook, Windows 11, CampusKart in Google Chrome [version]. Glo mobile network. Tested 16 September 2026.", Logged in as buyer or guest. On any page of campuskart.site. DevTools Console open.,"1. Open Google Chrome. 2. Navigate to https://campuskart.site. 3. Press F12 to open DevTools. 4. Click the Console tab. 5. Reload the page. 6. Observe the red error messages logged on load. 7. Attempt to install the site as an app (Chrome menu ? ""Install CampusKart"" or ""Add to Home Screen""). 8. Observe whether an icon and app name appear.","No 404 errors appear in the Console on page load. When the site is installed to the home screen, the CampusKart icon, name, and theme colour appear correctly.","On every page load the Console logs: GET https://campuskart.site/manifest.json 404 (Not Found), Manifest fetch from https://campuskart.site/manifest.json failed, code 404",Medium,P3,"3 out of 3 page loads, on Google Chrome (EliteBook)",
BUG-010,"Profile icon is missing from the top navigation bar on buyer pages, while it renders correctly for seller and rider accounts",Buyer navigation / Top navigation bar (all buyer pages),"HP EliteBook, Windows 11, CampusKart in Google Chrome [version]. Redmi Note 13, Android, CampusKart in Chrome for Android [version]. Both devices on Glo mobile network. Tested 16 September 2026.",Logged in as buyer testbuyer@gmail.com. No profile photo uploaded. Seller account (testseller@gmail.com) and rider account available for comparison. Cart contains at least one item.,"1. Open Google Chrome on the HP EliteBook. 2. Navigate to https://campuskart.site. 3. Log in as buyer with testbuyer@gmail.com / buyer7154. 4. On the homepage, look at the top-right navigation bar. Locate the position between the brightness toggle and the cart icon. 5. Observe whether a profile icon renders. 6. Navigate to the cart, the wallet, and the buyer profile page. Look at the same position in the top navigation bar on each page. 7. Log out. Log in as the seller account testseller@gmail.com. 8. On the seller dashboard, look at the same position in the top navigation bar. 9. Log out. Log in as the rider account. 10. On the rider dashboard, look at the same position in the top navigation bar. 11. Compare the three views side by side. 12. Repeat steps 3 to 11 on the Redmi Note 13 in Chrome for Android.","The profile icon should render in the top-right navigation bar on every buyer page, in the same position where it appears for seller and rider accounts. The buyer navigation should be visually consistent with the other two role views.","The profile icon does not render anywhere in the buyer top navigation bar. On every buyer page the icon position shows an empty grey circle with no image. On the same devices, the seller and rider top navigation bars show the profile icon correctly in the same position. The buyer view is the only role affected. The empty circle is present, but no icon, image, or initial is drawn inside it.",Low,P3,3 out of 3 attempts on each item,
